ID	Path	count_arrow	count_at	count_block_comment	count_class	count_closing_quote	count_colon	count_coloncolon	count_comma	count_dot	count_else	count_eol_comment	count_eq	count_eqeq	count_excl	count_false	count_fun	count_gt	count_identifier	count_if	count_integer_literal	count_interface	count_kdoc	count_lbrace	count_lbracket	count_long_template_entry_end	count_long_template_entry_start	count_lpar	count_lt	count_mul	count_null	count_object	count_open_quote	count_package	count_plus	count_quest	count_rbrace	count_rbracket	count_regular_string_part	count_return	count_rpar	count_super	count_this	count_true	count_val	count_var	count_white_space	bin_arrow	bin_at	bin_block_comment	bin_class	bin_closing_quote	bin_colon	bin_coloncolon	bin_comma	bin_dot	bin_else	bin_eol_comment	bin_eq	bin_eqeq	bin_excl	bin_false	bin_fun	bin_gt	bin_identifier	bin_if	bin_integer_literal	bin_interface	bin_kdoc	bin_lbrace	bin_lbracket	bin_long_template_entry_end	bin_long_template_entry_start	bin_lpar	bin_lt	bin_mul	bin_null	bin_object	bin_open_quote	bin_package	bin_plus	bin_quest	bin_rbrace	bin_rbracket	bin_regular_string_part	bin_return	bin_rpar	bin_super	bin_this	bin_true	bin_val	bin_var	bin_white_space	tfidf_arrow	tfidf_at	tfidf_block_comment	tfidf_class	tfidf_closing_quote	tfidf_colon	tfidf_coloncolon	tfidf_comma	tfidf_dot	tfidf_else	tfidf_eol_comment	tfidf_eq	tfidf_eqeq	tfidf_excl	tfidf_false	tfidf_fun	tfidf_gt	tfidf_identifier	tfidf_if	tfidf_integer_literal	tfidf_interface	tfidf_kdoc	tfidf_lbrace	tfidf_lbracket	tfidf_long_template_entry_end	tfidf_long_template_entry_start	tfidf_lpar	tfidf_lt	tfidf_mul	tfidf_null	tfidf_object	tfidf_open_quote	tfidf_package	tfidf_plus	tfidf_quest	tfidf_rbrace	tfidf_rbracket	tfidf_regular_string_part	tfidf_return	tfidf_rpar	tfidf_super	tfidf_this	tfidf_true	tfidf_val	tfidf_var	tfidf_white_space
11	D:/Project/CodePerformanceProblemDetection/5_1_FeaturesTokenExtractor/data\sources_2\sources\app\src\main\java\com\ground0\transaction\core\repository\db\util\LocalDateTimeConverter.txt.token	0	0	0	1	0	9	0	6	39	0	0	1	0	2	0	2	2	91	0	0	0	1	4	0	0	0	5	2	0	0	1	0	1	0	8	4	0	0	2	5	0	0	0	1	0	63	0	0	0	1	0	1	0	1	1	0	0	1	0	1	0	1	1	1	0	0	0	1	1	0	0	0	1	1	0	0	1	0	1	0	1	1	0	0	1	1	0	0	0	1	0	1	0.0	0.0	0.0	0.0098637337781	0.0	0.0857263557748	0.0	0.07936029691	0.33482230151	0.0	0.0	0.0113759333967	0.0	0.0609477703447	0.0	0.0197274675562	0.0244996154895	0.754766291537	0.0	0.0	0.0	0.00952515064164	0.0355473014848	0.0	0.0	0.0	0.042925936091	0.0244996154895	0.0	0.0	0.0200832998986	0.0	0.00858518721819	0.0	0.130675793855	0.0355473014848	0.0	0.0	0.0427236929171	0.042925936091	0.0	0.0	0.0	0.017998864085	0.0	0.522530509525
12	D:/Project/CodePerformanceProblemDetection/5_1_FeaturesTokenExtractor/data\sources_2\sources\app\src\main\java\com\ground0\transaction\core\repository\network\ApiStore.txt.token	0	4	0	0	4	4	0	0	17	0	0	0	0	0	0	3	7	50	0	0	1	1	1	0	0	0	7	7	0	0	0	4	1	0	0	1	0	4	0	7	0	0	0	0	0	32	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	0	1	1	0	0	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	1	0.0	0.100550859734	0.0	0.0	0.0929659299246	0.0695946500263	0.0	0.0	0.266589292909	0.0	0.0	0.0	0.0	0.0	0.0	0.0540513577736	0.156628692939	0.757504328949	0.0	0.0	0.0451624303454	0.0173986625066	0.0162326960702	0.0	0.0	0.0	0.109772061786	0.156628692939	0.0	0.0	0.0	0.0929659299246	0.0156817231123	0.0	0.0	0.0162326960702	0.0	0.0929659299246	0.0	0.109772061786	0.0	0.0	0.0	0.0	0.0	0.484802770527
13	D:/Project/CodePerformanceProblemDetection/5_1_FeaturesTokenExtractor/data\sources_2\sources\app\src\main\java\com\ground0\transaction\core\repository\network\CloudStore.txt.token	0	0	0	2	11	24	2	1	78	0	10	7	0	0	0	15	22	229	0	0	0	1	12	0	2	2	47	22	0	0	1	11	1	0	0	12	0	11	0	47	0	0	0	2	1	205	0	0	0	1	1	1	1	1	1	0	1	1	0	0	0	1	1	1	0	0	0	1	1	0	1	1	1	1	0	0	1	1	1	0	0	1	0	1	0	1	0	0	0	1	1	1	0.0	0.0	0.0	0.0071392224775	0.0506514728968	0.0827299330159	0.0137343793486	0.00478664932457	0.242339356949	0.0	0.077306919382	0.0288180545342	0.0	0.0	0.0	0.0535441685812	0.0975284970582	0.687363021086	0.0	0.0	0.0	0.00344708054233	0.0385929050019	0.0	0.0196224645758	0.0196224645758	0.146024997136	0.0975284970582	0.0	0.0	0.00726799553213	0.0506514728968	0.00310691483269	0.0	0.0	0.0385929050019	0.0	0.0506514728968	0.0	0.146024997136	0.0	0.0	0.0	0.0130273077047	0.00619740528317	0.615324975208
14	D:/Project/CodePerformanceProblemDetection/5_1_FeaturesTokenExtractor/data\sources_2\sources\app\src\main\java\com\ground0\transaction\core\repository\network\util\HttpStatusOperator.txt.token	1	0	0	1	1	3	0	1	18	1	0	0	0	0	0	1	6	48	1	0	0	1	5	0	0	0	6	6	0	0	0	1	1	0	0	5	0	1	1	6	0	0	0	0	0	39	1	0	0	1	1	1	0	1	1	1	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	1	0	1	1	1	0	0	0	0	0	1	0.0443126847885	0.0	0.0	0.0176781214023	0.0228041865623	0.0512139033373	0.0	0.0237053735577	0.276959996666	0.0485890882485	0.0	0.0	0.0	0.0	0.0	0.0176781214023	0.131727149174	0.713521577249	0.0443126847885	0.0	0.0	0.0170713011124	0.0796363635352	0.0	0.0	0.0	0.0923199988886	0.131727149174	0.0	0.0	0.0	0.0228041865623	0.0153866664814	0.0	0.0	0.0796363635352	0.0	0.0228041865623	0.0382854326331	0.0923199988886	0.0	0.0	0.0	0.0	0.0	0.579736281515
15	D:/Project/CodePerformanceProblemDetection/5_1_FeaturesTokenExtractor/data\sources_2\sources\app\src\main\java\com\ground0\transaction\core\repository\network\util\ResponseStatusOperator.txt.token	0	0	0	1	0	0	0	0	13	0	0	0	0	0	0	0	1	24	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.039439544328	0.0	0.0	0.0	0.0	0.446255589735	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0489801171065	0.795926366677	0.0	0.0	0.0	0.0380857400872	0.0	0.0	0.0	0.0	0.0	0.0489801171065	0.0	0.0	0.0	0.0	0.0343273530565	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.397963183338
16	D:/Project/CodePerformanceProblemDetection/5_1_FeaturesTokenExtractor/data\sources_2\sources\app\src\main\java\com\ground0\transaction\core\repository\Repository.txt.token	0	0	0	0	0	21	0	0	15	0	0	0	0	0	0	12	18	85	0	0	1	1	1	0	0	0	12	18	0	0	0	0	1	0	0	1	0	0	0	12	0	0	0	0	0	59	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.207811186028	0.0	0.0	0.133788505611	0.0	0.0	0.0	0.0	0.0	0.0	0.122970336546	0.229075978968	0.732432830435	0.0	0.0	0.0256868628632	0.00989577076326	0.0092326084904	0.0	0.0	0.0	0.107030804489	0.229075978968	0.0	0.0	0.0	0.0	0.00891923370739	0.0	0.0	0.0092326084904	0.0	0.0	0.0	0.107030804489	0.0	0.0	0.0	0.0	0.0	0.50839455289
17	D:/Project/CodePerformanceProblemDetection/5_1_FeaturesTokenExtractor/data\sources_2\sources\app\src\main\java\com\ground0\transaction\core\repository\RepositoryImp.txt.token	0	0	0	0	13	22	0	3	40	0	11	0	0	0	0	12	18	148	0	0	0	1	17	0	0	0	28	18	0	0	1	13	1	0	0	17	0	13	1	28	0	0	0	0	0	165	0	0	0	0	1	1	0	1	1	0	1	0	0	0	0	1	1	1	0	0	0	1	1	0	0	0	1	1	0	0	1	1	1	0	0	1	0	1	1	1	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0831858192335	0.105385452326	0.0	0.0199553531802	0.172701413405	0.0	0.11817282142	0.0	0.0	0.0	0.0	0.0595262766542	0.11088885728	0.617332226991	0.0	0.0	0.0	0.00479024783298	0.0759769224473	0.0	0.0	0.0	0.120890989384	0.11088885728	0.0	0.0	0.010099996046	0.0831858192335	0.00431753533513	0.0	0.0	0.0759769224473	0.0	0.0831858192335	0.0107429837654	0.120890989384	0.0	0.0	0.0	0.0	0.0	0.688242009822
18	D:/Project/CodePerformanceProblemDetection/5_1_FeaturesTokenExtractor/data\sources_2\sources\app\src\main\java\com\ground0\transaction\Main2Activity.txt.token	0	0	0	1	1	2	0	3	43	0	0	1	0	0	0	1	1	79	0	0	0	0	6	0	0	0	13	1	0	0	0	1	1	0	3	6	0	1	0	13	1	1	0	0	0	51	0	0	0	1	1	1	0	1	1	0	0	1	0	0	0	1	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	1	1	0	1	1	0	1	0	1	1	1	0	0	0	1	0.0	0.0	0.0	0.0111579424978	0.014393373401	0.0215498685454	0.0	0.0448865333073	0.417600492993	0.0	0.0	0.0128685560209	0.0	0.0	0.0	0.0111579424978	0.0138570903778	0.741209491083	0.0	0.0	0.0	0.0	0.0603171306387	0.0	0.0	0.0	0.126251311835	0.0138570903778	0.0	0.0	0.0	0.014393373401	0.00971163937192	0.0	0.0554331032177	0.0603171306387	0.0	0.014393373401	0.0	0.126251311835	0.0227184056744	0.0227184056744	0.0	0.0	0.0	0.478502329687
19	D:/Project/CodePerformanceProblemDetection/5_1_FeaturesTokenExtractor/data\sources_2\sources\app\src\main\java\com\ground0\transaction\MainActivity.txt.token	0	2	0	3	0	3	2	5	57	0	0	2	0	0	0	4	1	126	0	0	0	0	10	0	0	0	22	1	0	0	0	0	1	0	4	10	0	0	0	22	1	5	0	0	1	94	0	1	0	1	0	1	1	1	1	0	0	1	0	0	0	1	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	1	1	0	0	0	1	1	1	0	0	1	1	0.0	0.0192124722442	0.0	0.0206554218181	0.0	0.0199464025298	0.0264911573354	0.0461629452442	0.341582881291	0.0	0.0	0.0158813898921	0.0	0.0	0.0	0.0275405624242	0.00855068178208	0.729479548002	0.0	0.0	0.0	0.0	0.0620323333927	0.0	0.0	0.0	0.131839006814	0.00855068178208	0.0	0.0	0.0	0.0	0.00599268212791	0.0	0.0456075374061	0.0620323333927	0.0	0.0	0.0	0.131839006814	0.0140186613656	0.070093306828	0.0	0.0	0.0119536845649	0.54421490089
20	D:/Project/CodePerformanceProblemDetection/5_1_FeaturesTokenExtractor/data\sources_2\sources\app\src\main\java\com\ground0\transaction\transaction\TransactionListActivity.txt.token	0	1	0	2	1	7	1	6	52	1	0	6	1	0	1	4	1	126	1	0	0	1	9	0	0	0	24	1	0	2	0	1	1	0	7	9	0	1	0	24	1	4	0	0	2	113	0	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	0	1	1	0	0	0	1	1	0	1	0	1	1	0	1	1	0	1	0	1	1	1	0	0	1	1	0.0	0.00905053719411	0.0	0.0129737017391	0.00836782110861	0.0438492797744	0.0124793520444	0.0521910285293	0.293592992479	0.0178293927382	0.0	0.0448880627394	0.0200410466235	0.0	0.015043038369	0.0259474034782	0.00805604427376	0.687280814007	0.016260199334	0.0	0.0	0.00626418282492	0.0525995134958	0.0	0.0	0.0	0.135504458067	0.00805604427376	0.0	0.0280970908973	0.0	0.00836782110861	0.00564601908613	0.0	0.0751961787806	0.0525995134958	0.0	0.00836782110861	0.0	0.135504458067	0.0132077136652	0.0528308546608	0.0	0.0	0.0225243821589	0.616370888753
21	D:/Project/CodePerformanceProblemDetection/5_1_FeaturesTokenExtractor/data\sources_2\sources\app\src\main\java\com\ground0\transaction\transaction\TransactionListAdapter.txt.token	0	0	0	2	0	10	0	4	40	0	0	4	0	0	1	3	2	100	0	0	0	1	3	1	0	0	13	2	0	0	0	0	1	0	0	3	1	0	1	13	0	0	0	2	1	76	0	0	0	1	0	1	0	1	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	0	0	1	1	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	1	1	1	0.0	0.0	0.0	0.0176437466192	0.0	0.085190531401	0.0	0.0473185577863	0.307134947808	0.0	0.0	0.0406973851734	0.0	0.0	0.0204579666392	0.0264656199288	0.0219118346911	0.741806403766	0.0	0.0	0.0	0.0085190531401	0.0238444536256	0.0242473038284	0.0	0.0	0.0998188580375	0.0219118346911	0.0	0.0	0.0	0.0	0.00767837369519	0.0	0.0	0.0238444536256	0.0242473038284	0.0	0.0191054936554	0.0998188580375	0.0	0.0	0.0	0.0321954550369	0.0153161564663	0.563772866862
